"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.024180833E0,-4.286780953E-3,-3.033131361E-3,-3.574275970E-2,3.612646188E-2
1.029167343E0,5.266189575E-3,-2.677130699E-2,3.103446960E-2,4.132280163E-2
1.034145989E0,-8.948594332E-3,-3.126692772E-2,7.826232910E-2,8.475075378E-2
1.039124687E0,1.489077508E-2,-2.628034353E-2,3.012561798E-2,4.266080751E-2
1.044103333E0,-1.860734820E-2,-2.128306031E-2,-1.286315918E-2,3.105902329E-2
1.049097083E0,-8.881524205E-3,-3.057204187E-2,-3.649616241E-2,4.843037360E-2
1.054076458E0,5.459234118E-3,-2.559049428E-2,-8.842563629E-2,9.221588685E-2
1.059055885E0,7.398426533E-4,-1.120652258E-2,-4.020404816E-2,4.174325100E-2
1.064035364E0,7.538944483E-4,-1.532509923E-3,1.711463928E-2,1.719964596E-2
1.068999270E0,5.570486188E-3,-6.238535047E-3,4.071617126E-2,4.156628728E-2
1.073977864E0,-1.349988580E-2,-6.209030747E-3,5.937004089E-2,6.120131318E-2
1.078956562E0,1.976983249E-2,-6.127491593E-3,-2.184963226E-2,3.009649249E-2
1.083935208E0,-1.846408844E-2,-1.298919320E-3,-1.261358261E-1,1.274866910E-1
1.088917343E0,1.964776218E-2,-6.111413240E-3,-2.061939240E-2,2.912976610E-2
1.093896145E0,2.910788357E-2,2.726104856E-2,-1.094722748E-2,4.135547659E-2
1.098874947E0,2.414017916E-2,2.226211131E-2,2.238368988E-2,3.974140690E-2
1.103853802E0,-9.278163314E-3,1.735788584E-2,2.219772339E-2,2.966680702E-2
1.108822500E0,-1.872983575E-2,4.568330944E-2,3.625774384E-2,6.125679959E-2
1.113800781E0,-1.860266924E-2,1.678834856E-2,-3.527259827E-2,4.326735650E-2
1.118779062E0,9.960040450E-3,1.662673056E-2,-3.023242950E-2,3.591170239E-2
1.123757395E0,-4.398435354E-3,2.126646042E-2,-6.796836853E-2,7.135340001E-2
1.128738593E0,1.945532858E-2,1.156975329E-2,-3.890991211E-2,4.501500041E-2
1.133716979E0,1.456700265E-2,1.619936526E-2,-2.434062958E-2,3.266624021E-2
1.138695416E0,2.234578133E-4,1.847893000E-3,4.234218597E-2,4.238307864E-2
1.143673906E0,2.438873053E-4,1.135927439E-2,-1.974010468E-2,2.277639849E-2
1.148667343E0,5.065158010E-3,3.508941829E-2,-2.906990051E-2,4.584737961E-2
1.153646510E0,-4.504010081E-3,1.108430326E-2,-6.681537628E-2,6.787814371E-2
1.158625729E0,-9.244933724E-3,2.521492541E-2,-4.726600647E-2,5.436300792E-2
1.163604947E0,3.524422646E-4,5.987554789E-3,-4.212379456E-2,4.254866738E-2
1.168580937E0,-3.756393492E-2,1.071591675E-2,-8.531570435E-3,3.998334369E-2
1.173559947E0,-1.353839040E-2,1.107156277E-3,1.528072357E-2,2.044539856E-2
1.178538958E0,8.955150843E-4,5.823165178E-3,3.889656067E-2,3.934022918E-2
1.183518020E0,-8.691176772E-3,5.804434419E-3,-4.164695740E-3,1.125045347E-2
1.188484739E0,-2.294936776E-2,-8.509531617E-3,-5.161666870E-2,5.712587940E-2
1.193463125E0,-1.798939705E-2,1.141965389E-3,-4.643630981E-2,4.981218084E-2
1.198441562E0,-8.268967271E-3,1.071225107E-2,-6.504058838E-2,6.643347258E-2
1.203420000E0,-3.429263830E-3,-1.308971643E-2,2.097511292E-2,2.496108749E-2
1.208419895E0,1.566714048E-2,-1.769843698E-2,7.303524017E-2,7.676483746E-2
1.213399375E0,-1.288086176E-2,-2.237342298E-2,5.343246460E-2,5.934235358E-2
1.218378906E0,-3.255262971E-3,-3.165340424E-2,6.723403931E-2,7.438380723E-2
1.223358385E0,-3.205820918E-3,-2.191510797E-2,-1.879882812E-2,2.905073465E-2
1.228327083E0,2.053244412E-2,-3.594748676E-2,-4.238510132E-2,5.924778375E-2
1.233305989E0,6.189361215E-3,-2.617260814E-2,-3.728199005E-2,4.597021200E-2
1.238285000E0,2.520634234E-2,-4.961493611E-2,1.526451111E-2,5.770621179E-2
1.243263958E0,2.506980300E-2,-2.542842925E-2,7.212162018E-2,8.047750079E-2
1.248219843E0,2.013564110E-2,-4.903420806E-2,8.101654053E-2,9.681672088E-2
1.253197604E0,1.049314439E-2,-3.909882903E-2,5.659961700E-2,6.958693236E-2
1.258175364E0,5.680546165E-3,-1.025301218E-2,1.339244843E-2,1.779748685E-2
1.263153177E0,1.510129869E-2,-5.893111229E-4,-5.712509155E-3,1.615640030E-2
1.268121979E0,2.444253862E-2,-5.355343223E-3,3.830909729E-3,2.531389469E-2
1.273099218E0,2.901175618E-2,4.214480519E-3,1.329708099E-2,3.219093360E-2
1.278076562E0,3.354078531E-2,1.845462620E-2,5.117511749E-2,6.390970316E-2
1.283053906E0,4.845902324E-3,8.728325367E-3,7.449150085E-2,7.515750217E-2
1.288053697E0,-1.896598935E-2,-5.718261003E-3,7.386779785E-2,7.647783222E-2
1.293032135E0,1.581907272E-4,-1.994013786E-2,6.375408173E-2,6.679982829E-2
1.298010572E0,2.232193947E-5,1.813922822E-2,-3.649902344E-2,4.075795396E-2
1.302989062E0,-1.900181174E-2,4.165579379E-2,-3.619670868E-2,5.836502141E-2
1.307970312E0,1.738965511E-4,1.289901137E-2,-2.164745331E-2,2.519974145E-2
